customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,Yes,Yes,71,Yes,No phone service,No,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,104.2,7383.2,0
CUST00001,Female,0,No,Yes,15,Yes,No,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card,114.6,1699.57,0
CUST00002,Male,0,No,No,37,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,25.3,929.55,0
CUST00003,Male,0,No,Yes,48,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card,55.91,2672.5,1
CUST00004,Male,1,Yes,No,60,Yes,Yes,DSL,No internet service,No,No internet service,No,No,Yes,Two year,No,Mailed check,90.12,5405.74,0
CUST00005,Female,0,No,Yes,64,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,39.47,2524.72,0
CUST00006,Male,0,Yes,No,49,Yes,No,DSL,No,No,No internet service,No internet service,No,No,Two year,Yes,Mailed check,73.12,3569.12,1
CUST00007,Male,0,Yes,No,16,Yes,Yes,No,Yes,Yes,No,No,No internet service,No,Month-to-month,No,Bank transfer,82.34,1323.8,0
CUST00008,Male,0,Yes,No,27,Yes,Yes,No,No internet service,No,Yes,No,Yes,Yes,Two year,No,Mailed check,36.75,988.75,0
CUST00009,Female,0,No,Yes,43,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Bank transfer,88.45,3808.67,0
CUST00010,Male,0,Yes,No,11,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer,23.8,276.35,0
CUST00011,Male,0,Yes,No,69,Yes,Yes,DSL,No internet service,No internet service,No,Yes,Yes,No,Two year,Yes,Credit card,22.8,1559.98,0
CUST00012,Male,0,No,No,70,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,Yes,One year,Yes,Electronic check,94.17,6589.22,0
CUST00013,Male,0,Yes,Yes,71,No,No phone service,DSL,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card,85.2,6062.85,0
CUST00014,Female,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,96.48,201.85,0
CUST00015,Male,0,Yes,Yes,48,No,Yes,DSL,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer,21.46,1022.3,0
CUST00016,Female,0,Yes,Yes,20,Yes,No phone service,No,No internet service,Yes,No internet service,No,No,No,One year,Yes,Mailed check,27.79,566.05,0
CUST00017,Female,0,No,No,7,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,No,Electronic check,50.7,350.18,0
CUST00018,Female,0,No,No,63,Yes,No,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,30.35,1930.9,0
CUST00019,Male,0,Yes,Yes,58,Yes,Yes,No,No,No,No,No,No internet service,No internet service,One year,No,Mailed check,53.16,3073.47,0
CUST00020,Female,0,No,Yes,29,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,76.04,2192.29,0
CUST00021,Male,1,Yes,Yes,31,No,Yes,No,No,Yes,Yes,No,No internet service,No,Two year,Yes,Credit card,75.25,2347.9,0
CUST00022,Female,0,Yes,No,19,No,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.15,553.72,0
CUST00023,Female,0,Yes,No,15,Yes,No phone service,No,No,No internet service,No,Yes,Yes,No,Month-to-month,No,Mailed check,27.18,417.46,0
CUST00024,Female,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,One year,No,Electronic check,24.44,604.57,0
CUST00025,Female,0,Yes,Yes,59,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,107.97,6358.12,0
CUST00026,Female,0,Yes,No,44,Yes,No,No,No,Yes,No,No,No,No,Two year,No,Electronic check,96.24,4218.57,0
CUST00027,Female,1,Yes,Yes,8,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card,102.37,807.62,0
CUST00028,Female,1,Yes,Yes,50,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Electronic check,21.87,1078.09,0
CUST00029,Female,0,Yes,No,60,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No,Yes,Two year,Yes,Mailed check,91.8,5526.48,0
CUST00030,Male,0,No,No,39,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,83.35,3259.19,0
CUST00031,Male,0,No,Yes,60,Yes,No phone service,No,No,No,No,Yes,No internet service,Yes,One year,No,Electronic check,29.71,1788.83,0
CUST00032,Female,0,No,Yes,66,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,78.21,5179.92,1
CUST00033,Female,1,Yes,Yes,14,Yes,No,DSL,No,No,No internet service,No,Yes,No,Two year,Yes,Electronic check,26.39,388.6,0
CUST00034,Female,0,No,Yes,52,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,65.33,3413.68,0
CUST00035,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card,88.36,271.47,0
CUST00036,Female,1,Yes,No,22,Yes,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,26.14,574.95,0
CUST00037,Male,0,Yes,Yes,26,Yes,Yes,No,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,71.12,1830.88,0
CUST00038,Male,0,No,Yes,36,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,89.02,3219.8,0
CUST00039,Male,1,No,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No,Yes,No,One year,Yes,Credit card,25.06,1036.52,0
CUST00040,Male,0,No,No,36,Yes,Yes,No,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,107.02,3836.17,1
CUST00041,Male,0,No,Yes,28,Yes,No,DSL,No,No,No,No,No internet service,No,Two year,No,Bank transfer,55.45,1558.85,0
CUST00042,Female,0,No,No,28,Yes,Yes,No,No internet service,Yes,No,No internet service,No,No,One year,Yes,Mailed check,51.44,1453.57,0
CUST00043,Female,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Bank transfer,32.15,1550.62,0
CUST00044,Female,0,Yes,No,50,No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,118.53,5921.1,0
CUST00045,Female,0,Yes,No,49,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,One year,Yes,Credit card,77.82,3826.36,0
CUST00046,Female,1,No,No,27,Yes,No phone service,DSL,No,No,Yes,No internet service,No,Yes,Two year,Yes,Electronic check,78.33,2095.13,0
CUST00047,Male,0,Yes,No,4,No,Yes,No,Yes,No,No internet service,Yes,Yes,No,One year,Yes,Bank transfer,80.99,310.55,0
CUST00048,Female,0,No,No,55,Yes,No,No,No,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,61.74,3395.74,0
CUST00049,Female,0,No,No,63,Yes,No,DSL,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,58.28,3686.76,0
CUST00050,Male,0,No,Yes,16,Yes,Yes,No,No,No,Yes,Yes,No internet service,No,One year,No,Bank transfer,74.88,1182.23,0
CUST00051,Female,0,No,Yes,54,Yes,No,No,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,36.5,1971.09,0
CUST00052,Male,0,Yes,Yes,8,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Mailed check,78.89,619.35,1
CUST00053,Female,0,Yes,No,67,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer,69.78,4663.9,0
CUST00054,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer,34.81,535.81,0
CUST00055,Female,0,No,Yes,15,Yes,No,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,97.95,1455.97,0
CUST00056,Female,0,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer,27.55,313.32,0
CUST00057,Male,0,No,No,62,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,44.02,2712.66,0
CUST00058,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No,Two year,No,Mailed check,36.9,1470.01,0
CUST00059,Male,0,Yes,No,52,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,65.78,3422.21,1
CUST00060,Male,0,No,No,67,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.82,6065.4,0
CUST00061,Male,0,Yes,Yes,8,Yes,No phone service,DSL,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,44.22,373.51,0
CUST00062,Male,0,Yes,Yes,50,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No internet service,One year,Yes,Mailed check,35.13,1774.06,0
CUST00063,Male,0,No,No,47,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,76.56,3596.93,0
CUST00064,Male,0,No,Yes,48,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.56,4140.73,0
CUST00065,Female,0,Yes,Yes,17,Yes,Yes,No,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,115.1,1943.15,0
CUST00066,Female,0,No,No,9,Yes,No,DSL,No internet service,No internet service,Yes,No,No,No,One year,Yes,Mailed check,80.8,722.79,0
CUST00067,Male,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,76.79,4086.37,0
CUST00068,Female,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No,Yes,Yes,One year,Yes,Electronic check,67.26,938.15,0
CUST00069,Female,0,Yes,Yes,10,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,One year,No,Electronic check,47.95,474.99,0
CUST00070,Female,0,Yes,No,39,Yes,Yes,DSL,No,Yes,No internet service,No,No,Yes,One year,Yes,Credit card,115.11,4506.01,0
CUST00071,Female,0,No,Yes,46,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Two year,No,Electronic check,91.08,4209.43,0
CUST00072,Male,0,Yes,Yes,19,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No internet service,Two year,Yes,Bank transfer,67.37,1275.38,0
CUST00073,Female,0,No,No,21,No,Yes,No,No,Yes,No,Yes,No internet service,Yes,Two year,No,Electronic check,73.22,1556.12,0
CUST00074,Male,0,No,Yes,47,Yes,No phone service,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,115.81,5428.26,0
CUST00075,Female,0,No,Yes,15,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,68.55,1016.24,0
CUST00076,Female,0,No,No,4,Yes,No,No,No,No,No,No,No internet service,No,Two year,No,Credit card,119.34,474.75,0
CUST00077,Female,0,Yes,Yes,64,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No,Two year,Yes,Mailed check,77.13,4931.62,0
CUST00078,Male,0,No,No,20,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,111.71,2223.4,0
CUST00079,Female,1,Yes,No,60,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,92.38,5541.83,0
CUST00080,Male,0,Yes,No,54,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,30.88,1676.88,0
CUST00081,Female,1,No,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,81.53,1861.46,0
CUST00082,Male,0,Yes,No,22,Yes,No,DSL,No,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,115.3,2531.15,0
CUST00083,Female,0,No,Yes,10,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,53.36,514.83,0
CUST00084,Male,0,Yes,No,46,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer,55.72,2581.33,0
CUST00085,Male,1,No,Yes,1,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,31.57,42.0,0
CUST00086,Female,0,No,Yes,69,Yes,No,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,71.15,4902.38,0
CUST00087,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No internet service,Two year,Yes,Electronic check,49.86,2579.68,0
CUST00088,Female,0,No,Yes,10,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Two year,Yes,Electronic check,97.15,972.72,0
CUST00089,Female,0,No,Yes,14,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,No,Month-to-month,No,Electronic check,40.6,557.38,0
